number,forum,title,abstract,authors,decision
67,https://openreview.net/forum?id=h7t0cFuX0m4,Recurrent Inference Machines as Inverse Problem Solvers for MR Relaxometry,"In this work, we propose the use of Recurrent Inference Machines (RIMs) to perform $T_1$ mapping. The RIM is a neural network framework that learns an iterative inference process using a model of the signal, similar to conventional statistical methods for quantitative MRI (QMRI), such as the Maximum Likelihood Estimator (MLE). Previously, RIMs were used to solve linear inverse reconstruction problems. Here, we show that they can also be used to optimize non-linear problems. The developed RIM framework is evaluated in terms of accuracy and precision and compared to an MLE method and an implementation of the ResNet. The results show that, compared to the other techniques in Monte Carlo experiments with simulated data, the RIM improves the precision of estimates without compromising in accuracy.",Emanoel Ribeiro Sabidussi|Stefan Klein|Matthan W. A. Caan|Shabab Bazrafkan|Arjan J. den Dekker|Jan Sijbers|Wiro Niessen|Dirk Poot,Accept (Poster)
68,https://openreview.net/forum?id=aGfL5C9wRx_,Test-Time Mixup Augmentation for Uncertainty Estimation in Skin Lesion Diagnosis,"Uncertainty is considered to be an important measure that provides valuable information on the learning behavior of deep neural networks. In this paper, we propose an uncertainty estimation method using test-time mixup augmentation (TTMA). The TTMA uncertainty is obtained by replacing affine augmentation with the mixup in the existing test-time augmentation (TTA) method. In addition to the data uncertainty, we propose TTMA-based class-specific uncertainty, which can provide information on between-class confusion. In experiments on the skin lesion diagnosis dataset, we confirmed that the proposed TTMA not only provides better epistemic uncertainty than TTA but also provides information on between-class confusion through class-specific uncertainty.",Hansang Lee|Haeil Lee|Helen Hong|Junmo Kim,Accept (Poster)
70,https://openreview.net/forum?id=CdQn5goh0E4,Comparison of CNN models on a multi-scanner database in colon cancer histology,"One of the most important challenges for computer-aided analysis in digital pathology is the development of robust deep neural networks, which can cope with variations in color and resolution of digitized whole-slide images (WSIs). It has been shown that color augmentation during training is a useful method to aid a model generalize better to heterogeneous data. In this work, we compare state of the art models EfficientNet, Xception, Inception, ResNet, DenseNet, MobileNet and QuickNet on a multi-scanner database comprising slides each digitized with six different scanners. All of the networks are trained with data of only one scanner applying a combination of color and blur augmentation techniques. All models show similar tendencies across the different scanner databases but differ in the overall classification accuracy. Differences in training and inference time, however, are more pronounced: on a mid-range GPU, the inference time of the fastest model (QuickNet) is 13 times faster than the slowest one (EfficientNet B4). There is also a trade-off between speed and accuracy, the slower networks are more stable across different scanners and show the overall best performance. A good compromise between quality and inference time is achieved by EfficientNet B0.",Petr Kuritcyn|Michaela Benz|Jakob Dexl|Volker Bruns|Arndt Hartmann|Carol Geppert,Accept (Poster)
73,https://openreview.net/forum?id=hPUnpHJHuy,Learning to Represent Whole Slide Images by Selecting Cell Graphs of Patches,"Advances in multiplex biomarker imaging systems have enabled the study of complex spatial biology within the tumor microenvironment. However, the high-resolution multiplexed images are often only available for a subset of regions of interest (RoIs), clinical data is not easily accessible and the datasets are generally too small to apply off-the-shelf deep learning methods commonly used in histopathology. In this paper, we focus on datasets with few images and without labels, and aim to learn representations for slides. We choose a task of patient identification that leads our new model to select RoIs with discriminative properties and infer patient-specific features that can be used later for any task via transfer learning. The experimental results on the synthetic data generated by taking the tumor microenvironment into account indicate that the proposed method is a promising step towards computer-aided analysis in unlabeled datasets of high-resolution images.",Yinan Zhang|Beril Besbinar|Pascal Frossard,Accept (Poster)
76,https://openreview.net/forum?id=tv_pkmFzdC,Robust medical image segmentation by adapting neural networks for each test image,"Performance of convolutional neural networks (CNNs) used for medical image analyses degrades markedly when training and test images differ in terms of their acquisition details, such as the scanner model or the protocol. We tackle this issue for the task of image segmentation by adapting a CNN ($C$) for each test image. Specifically, we design $C$ as a concatenation of a shallow normalization CNN ($N$), followed by a deep CNN ($S$) that segments the normalized image. At test time, we adapt $N$ for each test image, guided by an implicit prior on the predicted labels, which is modelled using an independently trained denoising autoencoder ($D$). The method is validated on multi-center MRI datasets of 3 anatomies. This article is a short version of the journal paper~\cite{karani2021test}.",Neerav Karani|Ertunc Erdil|Krishna Chaitanya|Ender Konukoglu,Accept (Poster)
80,https://openreview.net/forum?id=W9sz0zHk33h,Prediction of Ki67 scores from H&E stained breast cancer sections using convolutional neural networks,"Ki67 is an established marker of proliferation in breast cancer, but currently has limited clinical value due to limitations of the analytical validity of immunohistochemistry (IHC) -based Ki67 scoring. While the inter-assessor variability of scoring can be improved through image analysis software, Ki67 IHC also suffers from a lack of standardized staining protocols and is not part of routine pathology workflow in most countries. This could potentially be alleviated through directly predicting Ki67 scores from routine hematoxylin and eosin (H\&E) stained whole-slide-images (WSIs). We compared four different deep learning based approaches to  predict Ki67 scores from routine H\&E stained WSIs in a dataset that consists of matched H\&E and Ki67 WSIs from 126 breast cancer patients, resulting in a Spearman correlation between WSI cancer ROI averages of 0.546 for the best performing model in a 5-fold cross-validation (CV). These findings suggest that it is possible to predict the Ki67 score from H\&E stained WSIs, but validation in a larger cohort is required to meaningfully distinguish the performance of the methods that were investigated. ",Philippe Weitz|Balazs Acs|Johan Hartman|Mattias Rantalainen,Accept (Poster)
86,https://openreview.net/forum?id=XT40FwD5bV,Comparison of Representation Learning Techniques for Tracking in time resolved 3D Ultrasound,"3D ultrasound (3DUS) becomes more interesting for target tracking in radiation therapy due to its capability to provide volumetric images in real-time without using ionizing radiation. It is potentially usable for tracking without using fiducials. For this, a method for learning meaningful representations with which recognizing anatomical structures in different time frames is capable would be useful. In this study, 3DUS patches are reduced into a 128-dimensional representation space using conventional autoencoder, variational autoencoder and sliced-wasserstein autoencoder. In the representation space, the capability of separating different ultrasound patches as well as recognizing similar patches is investigated and compared based on a dataset of liver images. Two metrics to evaluate the tracking capability in the representation space are proposed. It is shown that ultrasound patches with different anatomical structures can be distinguished and sets of similar patches can be clustered in representation space. The results indicate that the investigated autoencoders have different levels of usability for target tracking in 3DUS.",Daniel Wulff|Jannis Hagenah|Floris Ernst,Accept (Poster)
89,https://openreview.net/forum?id=-KI5qmKvhKQ,Cine-MRI detection of abdominal adhesions with spatio-temporal deep learning,"Adhesions are an important cause of chronic pain following abdominal surgery. Recent developments in abdominal cine-MRI have enabled the non-invasive diagnosis of adhesions. Adhesions are identified on cine-MRI by the absence of sliding motion during movement. Diagnosis and mapping of adhesions  improves the management of patients with pain. Detection of abdominal adhesions on cine-MRI is challenging from both a radiological and deep learning perspective. We focus on classifying presence or absence of adhesions in sagittal abdominal cine-MRI series. We experimented with spatio-temporal deep learning architectures centered around a ConvGRU architecture. A hybrid architecture comprising a ResNet followed by a ConvGRU model allows to classify a whole time-series. Compared to a stand-alone ResNet with a two time-point (inspiration/expiration) input, we show an increase in classification performance (AUROC) from 0.74 to 0.83 ($p<0.05$). Our full temporal classification approach adds only a small amount (5%) of parameters to the entire architecture, which may be useful for other  medical imaging problems with a temporal dimension. ",Bram de Wilde|Richard P. G. ten Broek|Henkjan Huisman,Accept (Poster)
93,https://openreview.net/forum?id=wiKDehhdnz,Synthesis of Diabetic Retina Fundus Images Using Semantic Label Generation,"Automatic segmentation of retina lesions have been a long standing and challenging task for learning based models, mostly due to the lack of available and accurate lesion segmentation datasets. In this paper, we propose a two-step process for generating photo-realistic fundus images conditioned on synthetic ""ground truth"" semantic labels, and demonstrate its potential for further downstream tasks, such as, but not limited to; automated grading of diabetic retinopathy, dataset balancing, creating image examples for trainee ophthalmologists, etc.",Joon-Ho Son|Amir Alansary|Daniel Rueckert|Bernhard Kainz|Benjamin Hou,Accept (Poster)
94,https://openreview.net/forum?id=-j7vnPsPWys,Abnormality Detection in Histopathology via Density Estimation with Normalising Flows,Diagnosis of cancer often relies on the time-consuming examination of histopathology slides by expert pathologists. Automation via supervised deep learning methods require large amounts of pixel-wise annotated data that is costly to acquire. Unsupervised density estimation methods that rely only on the availability of healthy examples could cut down the cost of annotation. We propose to use residual flows as density estimator and compare different tests for out-of-distribution (OOD) detection. Our results suggest that unsupervised OOD detection is a viable approach for detecting suspicious regions in histopathology slides.,Nick Pawlowski|Ben Glocker,Accept (Poster)
96,https://openreview.net/forum?id=0bpkIn63sNG,Semi-Supervised Siamese Network for Identifying Bad Data in Medical Imaging Datasets,"Noisy data present in medical imaging datasets can often aid the development of robust models that are equipped to handle real-world data. However, if the bad data contains insufficient anatomical information, it can have a severe negative effect on the model's performance. We propose a novel methodology using a semi-supervised Siamese network to identify bad data. This method requires only a small pool of 'reference' medical images to be reviewed by a non-expert human to ensure the major anatomical structures are present in the Field of View. The model trains on this reference set and identifies bad data by using the Siamese network to compute the distance between the reference set and all other medical images in the dataset. This methodology achieves an Area Under the Curve (AUC) of 0.989 for identifying bad data. Code will be available at https://git.io/JYFuV.",Niamh Belton|Kathleen M Curran|Aonghus Lawlor,Accept (Poster)
98,https://openreview.net/forum?id=fanGydarIPF,3D Scout Scans Using Projection Domain Denoising,"Low dose 2D scouts, also known as topograms, are commonly used for CT scan planning. Although 3D CT volumes can provide more valuable information for the selection of the scan range and parameters, the very low X-ray dose used during scout scan acquisitions results in artefacts requiring effective denoising techniques to make them useful. This has proved challenging for traditional denoising algorithms. We propose a projection domain denoiser based on a convolutional neural network (CNN), which provides improved image quality even at ultra-low dose levels. We compare two CNNs operating on two data representations, a conventional line integral data and raw photon counts, which have different quantitative properties and dynamic ranges. The results show that the two denoising strategies give rise to different properties of reconstructed images and that both projection CNNs are effective for ultra-low dose CT denoising.",Mikhail Bortnikov|Frank Bergner|Alexey Chernyavskiy|Kevin M. Brown|Noel Black|Michael Grass,Accept (Poster)
99,https://openreview.net/forum?id=cA4VVWbNO-,Strength in Diversity: Understanding the impacts of diverse training sets in self-supervised pre-training for histology images,"Self-supervised learning (SSL) has demonstrated success in computer vision tasks for natural images, and recently histopathological images, where there is limited availability of annotations. Despite this, there has been limited research into how the diversity of source data used for SSL tasks impacts performance. The current study quantifies changes to downstream classification of metastatic tissue in lymph node sections of the PatchCamelyon dataset when datasets from different domains (natural images, textures, histology) are used for SSL pre-training. We show that for cases with limited training data, using diverse datasets from different domains for SSL pre-training can achieve comparable performance when compared with SSL pre-training on the target dataset.",Kristina Lynn Kupferschmidt|Eu Wern Teh|Graham W. Taylor,Accept (Poster)
101,https://openreview.net/forum?id=xqZTapYnEcG,Creating Anthropomorphic Phantoms via Unsupervised Convolutional Neural Networks,"Computerized phantoms play an important role in medical imaging research. They can serve as a gold standard for evaluating and optimizing medical imaging analysis, processing, and reconstruction methods. Existing computerized phantoms model anatomical variations through organ and phantom scaling, which does not fully capture the range of anatomical variations seen in humans. Here, we present a registration-based method for creating highly realistic and detailed anthropomorphic phantoms. The proposed registration method is built on the use of an unsupervised convolutional neural network (ConvNet) that warps the four-dimensional Xtended Cardiac-Torso (XCAT) phantom to a patient CT scan. The registration ConvNet iteratively optimizes an SSIM-based loss function for a given image pair without prior training. We experimentally show substantially improved image similarity of the generated phantom using the proposed method to a patient image.",Junyu Chen|Ye Li|Yong Du|Eric Frey,Accept (Poster)
106,https://openreview.net/forum?id=M1VznPOV5jV,Scopeformer: n-CNN-ViT hybrid model for Intracranial hemorrhage subtypes classification,"We propose a feature generator backbone composed of an ensemble of convolutional neural networks (CNNs) to improve the recently emerging Vision Transformer (ViT) models. We tackled the RSNA intracranial hemorrhage classification problem, i.e., identifying various hemorrhage  types  from  computed  tomography  (CT)  slices.   We  show  that  by gradually stacking  several  feature  maps  extracted  using  multiple  Xception  CNNs,  we  can develop a  feature-rich  input  for  the  ViT  model.   Our  approach  allowed  the  ViT  model  to  pay attention to relevant features at multiple levels.  Moreover, pretraining the ”n” CNNs using various paradigms leads to a diverse feature set and further improves the performance of the proposed n-CNN-ViT. We achieved a test accuracy of 98.04% with a weighted logarithmic loss value of 0.0708.  The proposed architecture is modular and scalable in both the number of CNNs used for feature extraction and the size of the ViT.",Yassine Barhoumi|Ghulam Rasool,Accept (Poster)
108,https://openreview.net/forum?id=XHWqF4DlRr0,Efficient and Accurate Spatial-Temporal Denoising Network for Low-dose CT Scans,"While deep-learning-based imaging denoising techniques can improve the quality of low-dose computed tomography (CT) scans, repetitive 3D convolution operations cost significant computation resources and time. We present an efficient and accurate spatial-temporal convolution method to accelerate an existing denoising network based on the SRResNet. We trained and evaluated our model on our dataset containing 184 low-dose chest CT scans. We compared the performance of the proposed spatial-temporal convolution network to the SRResNet with full 3D convolutional layers. Using 8-bit quantization, we demonstrated a 7-fold speed-up during inference. Using lung nodule characterization as a driving task, we analyzed the impact on image quality and radiomic features. Our results show that our method achieves better perceptual quality, and the outputs are consistent with the SRResNet baseline outputs for some radiomics features (31 out of 57 total features). These observations together demonstrate that the proposed spatial-temporal method can be potentially useful for clinical applications where the computational resource is limited. ",Leihao Wei|William Hsu,Accept (Poster)
109,https://openreview.net/forum?id=2t0_AxD1otB,"DS6, Deformation-aware Semi-supervised Learning: Application to Small Vessel Segmentation with Noisy Training Data","The advancement of 7 Tesla MRI systems enabled the depiction of very small vessels in the brain. Segmentation and quantification of the small vessels in the brain is a critical step in the study of Cerebral Small Vessel Disease, which is a challenging task. This paper proposes a deep learning based on U-Net Multi-Scale Supervision architecture to automatically segment small vessels in 7 Tesla 3D Time-of-Flight (TOF) Magnetic Resonance Angiography (MRA) data trained on a small imperfect semi-automatically segmented dataset and was made equivariant to elastic deformations in a self-supervised manner using deformation-aware learning to improve the generalisation performance. The proposed method achieved a dice score of 80.44$\pm$0.83 while being compared against the semi-automatically created labels and 62.07 while comparing against manually segmented region. ",Soumick Chatterjee|Kartik Prabhu|Mahantesh Pattadkal|Gerda Bortsova|Chompunuch Sarasaen|Florian Dubost|Hendrik Mattern|Marleen de Bruijne|Oliver Speck|Andreas Nürnberger,Accept (Poster)
110,https://openreview.net/forum?id=KNEKu-W4Avz,ReconResNet: Regularised Residual Learning for MR Image Reconstruction of Undersampled Cartesian and Radial Data,"MRI is an inherently slow process, which leads to long scan time for high-resolution imaging. The speed of acquisition can be increased by ignoring parts of the data (undersampling). Consequently, this leads to the degradation of image quality. This work proposes a deep learning based MRI reconstruction framework to reconstruct highly undersampled Cartesian or radial MR acquisitions, which includes a modified regularised version of ResNet as the network backbone to remove artefacts from the undersampled image, followed by data consistency steps that fusions the network output with the data already available from undersampled k-space in order to further improve reconstruction quality. The performance of this framework for various undersampling patterns has also been tested, and it has been observed that the framework is robust to deal with various sampling patterns - results in very high quality reconstruction (highest SSIM being 0.990$\pm$0.006 for acceleration factor of 3.5), while being compared with the fully sampled reconstruction. It has been shown that the proposed framework can successfully reconstruct even for an acceleration factor of 20 for Cartesian (0.968$\pm$0.005) and 17 for radially (0.962$\pm$0.012) sampled data. ",Soumick Chatterjee|Mario Breitkopf|Chompunuch Sarasaen|Hadya Yassin|Georg Rose|Andreas Nürnberger|Oliver Speck,Accept (Poster)
112,https://openreview.net/forum?id=V4k0rNW7IG-,Weakly supervised 3D ConvLSTMs for high precision Monte-Carlo radiotherapy dose simulations,"Radiotherapy dose simulation using the Monte-Carlo technique surpasses existing algorithms in terms of precision but remains too time-consuming to be integrated in clinical workflows. We introduce a 3D recurrent and fully convolutional neural network architecture to produce high-precision Monte-Carlo-like dose simulations from low-precision and cheap-to-compute ones. We use the noise-to-noise setting, a weakly supervised training strategy, by training the models solely on low-precision data without expensive-to-compute, high-precision dose simulations. Several evaluation metrics are used to compare with other methods and to assess the clinical viability and quality of the generated dose maps.",Sonia Martinot|Norbert Bus|Maria Vakalopoulou|charlotte robert|Eric Deutsch|Nikos Paragios,Accept (Poster)
113,https://openreview.net/forum?id=Tz_X8xpgYsO,Ex-vivo - to - In-vivo Learning in Cardiology,"The clinical Atrial Fibrillation (AF) visualization method, multi-electrode mapping (MEM), delivers electrode grid $\textit{in-vivo}$ to the heart muscle and is known for its low resolution. A more cutting-edge imaging modality, near-infrared optical mapping (NIOM), allows seeing the AF sources in high resolution; however, it is currently $\textit{ex-vivo}$ only (i.e., designed for explanted organs only). In this work, we present the $\textit{ex-vivo}$ to the $\textit{in-vivo}$ learning paradigm, where the former serves the purpose of improving the latter. Specifically, the NIOM improves the detection of AF sources in MEM data via an image-to-image model. We validate the idea on 7 explanted human hearts and test the models on 2 clinical cases.",Alexander M. Zolotarev|Oleg Y. Rogov|Aleksei V. Mikhailov|John D. Hummel|Vadim V Fedorov|Dmitry V. Dylov,Accept (Poster)
117,https://openreview.net/forum?id=jgBzGIG-kB,Cycle Consistent Embedding of 3D Brains with Auto-Encoding Generative Adversarial Networks,"Modern generative adversarial networks (GANs) have been enabling the realistic generation of full 3D brain images by sampling from a latent space prior $\mathcal{Z}$ (i.e., random vectors) and mapping it to realistic images in $\mathcal{X}$ (e.g., 3D MRIs). To address the ubiquitous mode collapse issue, recent works have strongly imposed certain characteristics such as Gaussianness to the prior by also explicitly mapping $\mathcal{X}$ to $\mathcal{Z}$ via encoder. These efforts, however, fail to accurately map 3D brain images to the desirable prior, which the generator assumes to be sampling the random vectors from. On the other hand, Variational Auto-Encoding GAN (VAE-GAN) solves mode collapse by enforcing Gaussianness by two learned parameter, yet causes blurriness in images. In this work, we show how our \textit{cycle consistent embedding} GAN (CCE-GAN) both accurately encodes 3D MRIs to the standard normal prior, and maintains the quality of the generated images. We achieve this without a network-based code discriminator via the Wasserstein measure. We quantitatively and qualitatively assess the embeddings and the generated 3D MRIs using healthy T1-weighted MRIs from ADNI.",Shibo Xing|Harsh Sinha|Seong Jae Hwang,Accept (Poster)
120,https://openreview.net/forum?id=tgkEqYyA12p,Self-supervised Visual Place Recognition for Colonoscopy Sequences,"We present the first place recognition system trained specifically for colonoscopy sequences. We use the convolutional neural network for image retrieval proposed by Radenovic et al. and we fine-tune it using image pairs from real human colonoscopies. The colonoscopy frames are clustered automatically by a Structure-from-Motion (SfM) algorithm, which has proven to cope with scene deformation and illumination changes. The experiments show that the system is able to generalize by testing in a different human colonoscopy, retrieving frames observing the same place despite of the different viewpoint and illumination changes. The proposed place recognition would be a key component of Simultaneous Localization and Mapping (SLAM) systems operating in colonoscopy to assist doctors during the explorations or to support robotization. 
",Javier Morlana|Pablo Azagra Millán|Javier Civera|José M. M. Montiel,Accept (Poster)
121,https://openreview.net/forum?id=_BIpUlEB6ff,A hybrid model- and deep learning-based framework for functional lung image synthesis from non-contrast multi-inflation CT,"Hyperpolarized gas MRI can visualize and quantify regional lung ventilation with exquisite detail but requires highly specialized equipment and exogenous contrast. Alternative, non-contrast techniques, including CT-based models of ventilation have shown moderate spatial correlations with hyperpolarized gas MRI. Here, we propose a hybrid framework that integrates CT-ventilation modelling and deep learning approaches. The hybrid model/DL framework generated synthetic ventilation images which accurately replicated gross ventilation defects in hyperpolarized gas MRI scans, significantly outperforming other model- and DL-only approaches. Our results show that a synergy between conventional CT-ventilation modelling and DL can improve the performance of functional lung image synthesis.",Joshua Russell Astley|Alberto M Biancardi|Helen Marshall|Guilhem J Collier|Paul JC Hughes|Jim M Wild|Bilal A Tahir,Accept (Poster)
122,https://openreview.net/forum?id=zZA5TpNdC4Z,Rethinking the Design of Learning based Inter-Patient Registration using Deformable Supervoxels ,"Deep learning has the potential to substantially improve inter-subject alignment for shape and atlas analysis. So far most highly accurate supervised approaches require dense manual annotations and complex multi-level architectures but may still be susceptible to label bias. We present a radically different approach for learning to estimate large deformations without expert supervision. Instead of regressing displacements, we train a 3D DeepLab network to predict automatic supervoxel segmentations. To enable consistent supervoxel labels, we use the warping field of a conventional approach and increase the accuracy by sampling multiple complementary over-segmentations. We experimentally demonstrate that 1) our deformable supervoxels are less sensitive to large initial misalignment and can combine linear and nonlinear registration and 2) using this self-supervised classification loss is more robust to noisy ground truth and leads to better convergence than direct regression as supervision.",Mattias P Heinrich,Accept (Poster)
125,https://openreview.net/forum?id=GOhAojdaLg,Semi-supervised Image-to-Image translation for robust image registration,"The Japan Brain/MINDS Project aims at studying the neural networks controlling higher brain functions in the marmoset. As part of it, we develop an image processing pipeline for marmoset brain imaging data, where various microscopy images of different modalities need to be co-registered. In initial experiments, multi-modal image registration frequently failed due to an erroneous initialization. Our data set includes images of Nissl stained brain sections, backlit images as well as images of neural tracer injections using two-photon microscopy. More than 10000 high-resolution 2D images required co-registration, a large amount that demands a reliable automation process. We implemented a semi-supervised image-to-image translation which allowed a robust image alignment initialization. With such an initial alignment, all images can be successfully registered using a state-of-the-art multi-modal image registration algorithm.",henrik skibbe|akiya watakabe|Febrian Rachmadi|Carlos Enrique Gutierrez|Ken Nakae|tetsuo yamamori,Accept (Poster)
126,https://openreview.net/forum?id=ImcP8kkqtfZ,Radiographic Assessment of CVC Malpositioning: How can AI best support clinicians?,"The malpositioning of central venous catheters (CVCs) is a common technical complication that is usually diagnosed on post-procedure chest X-rays (CXRs). If the misplaced CVC remains undetected, it can lead to serious health consequences for the patient. Interpreting CXRs at a large scale in everyday clinical practice is time consuming and can create delays in the repositioning of the CVC. A computer-assisted assessment of post-procedure CXRs can help to prioritise cases and reduce human errors in stressful situations by objectifying decisions. However, final assessments must always be made by the clinicians, which is why the algorithmic support needs to be comprehensible.
Since AI models are not yet able to detect catheter maplpositons with highest accuracy, the focus must be on efficient support in everyday clinical practice. In this work, we evaluate three different AI models, particularly with regard to the relationship between classification accuracy and the degree of explainability. Our results show how helpful it is to incorporate explicit clinical knowledge into deep learning-based models and give us promising research directions for a planned large scale patient study.",Lasse Hansen|Malte Sieren|Malte Hobe|Axel Saalbach|Heinrich Schulz|Jörg Barkhausen|Mattias P Heinrich,Accept (Poster)
128,https://openreview.net/forum?id=sua3vlnkmEv,Learning a Metric without Supervision: Multimodal Registration using Synthetic Cycle Discrepancy,"Training deep learning based medical image registration methods involves the challenge of finding a suitable metric. To avoid the difficulty of choosing a metric for multimodal image registration, we propose a completely new concept relying on geometric instead of metric supervision with three-way registration cycles. Therefore, we create a synthetic image by applying a synthetic transformation on one of the input images. This leads to cycles that for each pair of input images comprise two multimodal transformations to be estimated and one known synthetic monomodal transformation. We minimise the discrepancy between the combined multimodal transformations and the synthetic monomodal transformation. By minimising this cycle discrepancy, we are able to learn multimodal registration between CT and MRI without metric supervision. Our method outperforms state-of-the-art metric supervision and comes very close to fully-supervised learning with ground truth labels. ",Hanna Siebert|Lasse Hansen|Mattias P Heinrich,Accept (Poster)
133,https://openreview.net/forum?id=1JP1g5htY6K,Virtual Bone Shape Aging,"We use deep learning to age knee bone surfaces four years. We propose to encode an MRI-based bone surface in a spherical coordinate format, and use these spherical maps to predict shape changes in a 48 months time frame, in subjects with and without osteoarthritis. The experiments show that a 2D V-Net can predict bone surface shape with a mean absolute error of about 1 mm. Our code is available  at https://github.com/fcaliva/Bone_Shape_Virtual_Aging.",Francesco Caliva|Alejandro Morales Martinez|Sharmila Majumdar|Valentina Pedoia,Accept (Poster)
138,https://openreview.net/forum?id=IAuBCvaTKHr,Breast cancer patient stratification using domain adaptation based lymphocyte detection in HER2 stained tissue sections,"We extend the CycleGAN architecture with a style-based generator and show the efficacy of the proposed domain adaptation-based method between two histopathology image domains - Hematoxylin and Eosin (H&E) and HER2 immunohistochemically (IHC) images. Using the proposed method, we re-used large set of pre-existing annotations for detection of tumor infiltrating lymphocytes (TILs), which were originally done on H&E, towards a TIL detector applicable on HER2 IHC images. We provide analytical validation of the resulting TIL detector. Furthermore, we show that the detected stromal TIL densities are significantly prognostic as a biomarker for patient stratification on a triple-negative breast cancer (TNBC) cohort.
",Ansh Kapil|Armin Meier|Anatoliy Shumilov|Susanne Haneder|Helen Angell|Günter Schmidt,Accept (Poster)
141,https://openreview.net/forum?id=yVYVzsNWvN,Optimizing Operating Points for High Performance Lesion Detection and Segmentation Using Lesion Size Reweighting,"There are many clinical contexts which require accurate detection and segmentation of all focal pathologies (e.g. lesions, tumours) in patient images. In cases where there are a mix of small and large lesions, standard binary cross entropy loss will result in better segmentation of large lesions at the expense of missing small ones. Adjusting the operating point to accurately detect all lesions generally leads to oversegmentation of large lesions. In this work, we propose a novel reweighing strategy to eliminate this performance gap, increasing small pathology detection performance while maintaining segmentation accuracy. We show that our reweighing strategy vastly outperforms competing strategies based on experiments on a large scale, multi-scanner, multi-center dataset of Multiple Sclerosis patient images.",Brennan Nichyporuk|Justin Szeto|Douglas Arnold|Tal Arbel,Accept (Poster)
144,https://openreview.net/forum?id=fQDGt0RJkMu,Gated CNNs for Nuclei Segmentation in H&E Breast Images,"Nuclei segmentation using deep learning has been achieving high accuracy using U-Net and variants, but a remaining challenge is distinguishing touching and overlapping cells. In this work, we propose using gated CNN (GCNN) networks to obtain sharper predictions around object boundaries and improve nuclei segmentation performance. The method is evaluated in over 1000 multicentre diverse H&E breast cancer images from three databases and compared to baseline U-Net and R2U-Net.",Shana Beniamin|April Khademi|Dimitri Androutsos,Accept (Poster)
145,https://openreview.net/forum?id=vNPQTZfPjFO,Reconstruction and coil combination of undersampled concentric-ring MRSI data using a Graph U-Net,"Geometric deep learning has recently gained influence, as it allows the extension of convolutional neural networks to non euclidean domains. In this paper graph neural networks (GNNs) are used for reconstruction and coil combination of undersampled concentric-ring k-space MRSI data. We show that graph U-nets perform better on undersampled data than GNNs. Specifically, results suggest that the omission of self-connecting edges results in a more stable behavior and better training for graph U-nets.",Paul Weiser|Stanislav Motyka|Georg Langs|Wolfgang Bogner,Accept (Poster)
